,Natural Gas Price,Frequency_Containment_Reserve_Procurement price [€/MW],Automatic_Frequency_Restoration_Reserve_Procurement price (+) [€/MW],Manual_Frequency_Restoration_Reserve_Procurement price (+) [€/MW],Manual_Frequency_Restoration_Reserve_Procurement price (-) [€/MW]
0,1.5716490256822642,2.838255217309098,-1.799390788471683,-1.9197953421000344,-1.1026862537854998
1,1.5716490256822642,2.838255217309098,-1.799390788471683,-1.9197953421000344,-1.1026862537854998
2,1.5716490256822642,2.838255217309098,-1.799390788471683,-1.9197953421000344,-1.1026862537854998
3,1.5716490256822642,2.8976285021886423,-1.7769838955668256,-1.904831365077129,-1.100145744033878
4,1.5716490256822642,2.91741959714849,-1.7695149312652063,-1.8998433727361603,-1.099298907450004
5,1.5716490256822642,2.91741959714849,-1.7695149312652063,-1.8998433727361603,-1.099298907450004
6,1.550636897840712,2.91741959714849,-1.7695149312652063,-1.8998433727361603,-1.099298907450004
7,1.3767859133021467,1.0521088971828,-1.7147425263866656,-1.757685591018559,-0.8325453835297053
8,1.3781725858427074,0.4303386638609025,-1.6964850580938182,-1.7102996637793584,-0.7436275422229389
9,1.3781725858427074,0.4303386638609025,-1.6964850580938182,-1.7102996637793584,-0.7436275422229389
10,1.3781725858427074,0.4303386638609025,-1.6964850580938182,-1.7102996637793584,-0.7436275422229389
11,1.3560242503834752,0.1334722394631798,-1.772419528493614,-1.8300114799626015,-0.7182224447067201
12,1.4053571454399465,0.0345167646639392,-1.7977310186268791,-1.8699154186903493,-0.7097540788679805
13,1.4053571454399465,0.0345167646639392,-1.7977310186268791,-1.8699154186903493,-0.7097540788679805
14,1.4053571454399465,0.0345167646639392,-1.7977310186268791,-1.8699154186903493,-0.7097540788679805
15,1.3034252141994094,-0.2574018859938212,-1.5749069169619054,-1.4060321309802817,-0.7681858031552841
16,1.3034252141994094,-0.3547081028797413,-1.5006322164069144,-1.2514043684102587,-0.7876630445843852
17,1.3034252141994094,-0.3547081028797413,-1.5006322164069144,-1.2514043684102587,-0.7876630445843852
18,1.3034252141994094,-0.3547081028797413,-1.5006322164069144,-1.2514043684102587,-0.7876630445843852
19,1.2727052566705837,-0.4289247089791722,-1.5578942760526615,-1.7302516331432325,-0.9248505711719672
20,1.2727052566705837,-0.4536635776789822,-1.5769816292679109,-1.8898673880542236,-0.9705797467011616
21,1.3017246891966954,-0.4536635776789822,-1.5769816292679109,-1.8898673880542236,-0.9705797467011616
22,1.3017246891966954,-0.4536635776789822,-1.5769816292679109,-1.8898673880542236,-0.9705797467011616
23,1.417446214987527,1.1692062090285678,-1.737564361752724,-1.904831365077129,-1.0747406465176592
24,1.415186982116529,1.7101628045977513,-1.791091939247662,-1.9098193574180973,-1.1094609464564915
25,1.415186982116529,1.7101628045977513,-1.791091939247662,-1.9098193574180973,-1.1094609464564915
26,1.415186982116529,1.7101628045977513,-1.791091939247662,-1.9098193574180973,-1.1094609464564915
27,1.4058053458282584,1.1708554669418887,-1.7425436712871367,-1.872409414860834,-0.3498485307215457
28,1.4058053458282584,0.9910863543899344,-1.7263609153002952,-1.8599394340084128,-0.0966443921432304
29,1.4058053458282584,0.9910863543899344,-1.7263609153002952,-1.8599394340084128,-0.0966443921432304
30,1.417446214987527,0.9910863543899344,-1.7263609153002952,-1.8599394340084128,-0.0966443921432304
31,1.313365558355964,-0.4437680301990583,-1.6541609270513096,-1.6354797786648312,-0.7978250835908727
32,1.3785952629298075,-0.922052825062056,-1.6300942643016476,-1.5606598935503042,-1.0315519807400868
33,1.3785952629298075,-0.922052825062056,-1.6300942643016476,-1.5606598935503042,-1.0315519807400868
34,1.3785952629298075,-0.922052825062056,-1.6300942643016476,-1.5606598935503042,-1.0315519807400868
35,1.3667201964462332,-1.2189192494597785,-1.713497699003062,-1.7327456293137165,-1.1077672732887436
36,1.3805891656585385,-1.3178747242590192,-1.741298843903534,-1.790107541234854,-1.1331723708049624
37,1.0599660167879124,-1.3178747242590192,-1.741298843903534,-1.790107541234854,-1.1331723708049624
38,1.2651284823965745,-1.3178747242590192,-1.741298843903534,-1.790107541234854,-1.1331723708049624
39,1.247413348024741,-1.2832403080792851,-1.4549885456747969,-1.0568726671124882,-1.234792760869838
40,1.184332088366086,-1.27169550268604,-1.3595517795985512,-0.8124610424050329,-1.2686662242247968
41,1.1809296359814705,-1.27169550268604,-1.3595517795985512,-0.8124610424050329,-1.2686662242247968
42,1.1242603344437203,-1.27169550268604,-1.3595517795985512,-0.8124610424050329,-1.2686662242247968
43,1.1461618511659597,-0.8956646984489247,-1.4666069345884267,-1.6055518246190204,-1.1263976781339708
44,1.114988925159584,-0.7703210970365529,-1.5022919862517186,-1.8699154186903493,-1.078974829437029
45,1.162452448759171,-0.7703210970365529,-1.5022919862517186,-1.8699154186903493,-1.078974829437029
46,1.032628878335078,-0.7703210970365529,-1.5022919862517186,-1.8699154186903493,-1.078974829437029
47,1.3298795717822882,0.1648081398162729,-1.705198849779041,-1.8998433727361603,-1.0357861636594567
48,1.3298795717822882,0.4765178854338818,-1.772834470954815,-1.9098193574180973,-1.0213899417335992
49,1.3298795717822882,0.4765178854338818,-1.772834470954815,-1.9098193574180973,-1.0213899417335992
50,1.3298795717822882,0.4765178854338818,-1.772834470954815,-1.9098193574180973,-1.0213899417335992
51,1.3298795717822882,0.7535932148717568,-1.7155724113090676,-1.872409414860834,-1.0696596270144152
52,1.3298795717822882,0.8459516580177147,-1.6964850580938182,-1.8599394340084128,-1.085749522108021
